 l   m    f
27  15  -40
27  16   44
27  17  -13
27  18    5
27  19    2
27  20  -25
27  21  -10
27  22  -37
27  23  -19
27  24  -33
27  25   64
27  26   15
27  27   -1
28 -28   -6
28 -27   23
28 -26   46
28 -25  -35
28 -24    3
28 -23  -26
28 -22    0
28 -21  -51
28 -20   49
28 -19  -16
28 -18    3
28 -17  -11
28 -16   -8
28 -15   37
28 -14  -21
28 -13  -69
28 -12  -19
28 -11   16
28 -10  -61
28  -9   -8
28  -8   39
28  -7  -11
28  -6  -46
28  -5  -11
28  -4    0
28  -3   10
28  -2    7
28  -1   -5
28   0  -59
28   1    2
28   2  -27
28   3    7
28   4    6
28   5  -20
28   6  -10
28   7  -34
28   8  -13
28   9   32
28  10  -11
28  11  -23
28  12   25
28  13  -30
28  14  -17
28  15   19
28  16    6
28  17  -10
28  18   -2
28  19   -3
28  20   -4
28  21  -13
28  22  -21
28  23   -7
28  24   46
28  25   -7
28  26  -26
28  27   -4
28  28   13
29 -29  -39
29 -28  -14
29 -27   16
29 -26   60
29 -25  -26
29 -24  -24
29 -23  -21
29 -22   -6
29 -21   27
29 -20    1
29 -19   -2
29 -18    3
29 -17   48
29 -16   39
29 -15   29
29 -14   34
29 -13   17
29 -12  -15
29 -11   -9
29 -10   47
29  -9  -29
29  -8  -43
29  -7   13
29  -6    5
29  -5   -4
29  -4  -43
29  -3   -6
29  -2  -25
29  -1   11
29   0   41
29   1   29
29   2   -6
29   3    5
29   4  -18
29   5   -9
29   6   56
29   7  -32
29   8   -1
29   9    1
29  10  -51
29  11  -51
29  12   19
29  13    2
29  14    4
29  15   65
29  16   15
29  17   -0
29  18   46
29  19   -7
29  20   40
29  21  -29
29  22    2
29  23   24
29  24   -7
29  25   38
29  26  -34
29  27  -34
29  28  -39
29  29    8
30 -30   19
30 -29   19
30 -28  -22
30 -27  -14
30 -26   -2
30 -25    4
30 -24   14
30 -23   -1
30 -22   -9
30 -21   40
30 -20   -8
30 -19   -6
30 -18  -30
30 -17   16
30 -16   19
30 -15   -9
30 -14   18
30 -13    6
30 -12   38
30 -11  -24
30 -10    7
30  -9   23
30  -8   -3
30  -7  -30
30  -6  -42
30  -5   13
30  -4   -8
30  -3  -40
30  -2   11
30  -1  -12
30   0   15
30   1  -75
30   2   41
30   3    8
30   4  -79
30   5  -19
30   6   25
30   7    5
30   8   -4
30   9   28
30  10   39
30  11  -19
30  12  -12
30  13   13
30  14   -4
30  15   10
30  16  -26
30  17   18
30  18  -13
30  19  -28
30  20   40
30  21   22
30  22  -13
30  23    9
30  24  -47
30  25   36
30  26   -5
30  27  -47
30  28    3
30  29    2
30  30   21
