     n      m             Cnm             Snm 
    20      0    2.156101E-08    2.156101E-08 
    20      1    5.569497E-09    7.033080E-09 
    20      2    2.029321E-08    1.718409E-08 
    20      3   -4.746645E-09    3.889814E-08 
    20      4    4.267310E-09   -2.262163E-08 
    20      5   -1.012503E-08   -8.260194E-09 
    20      6    1.216178E-08   -4.366604E-09 
    20      7   -2.122773E-08   -7.069277E-10 
    20      8    5.093387E-09    2.154162E-09 
    20      9    1.718614E-08   -7.011944E-09 
    20     10   -3.229583E-08   -4.788900E-09 
    20     11    1.445021E-08   -1.915244E-08 
    20     12   -6.467670E-09    1.813394E-08 
    20     13    2.741076E-08    6.764831E-09 
    20     14    1.152875E-08   -1.437913E-08 
    20     15   -2.578787E-08   -8.673352E-10 
    20     16   -1.243028E-08   -3.433105E-10 
    20     17    4.504164E-09   -1.372903E-08 
    20     18    1.535639E-08   -8.881755E-10 
    20     19   -3.028251E-09    1.092158E-08 
    20     20    3.733496E-09   -1.269516E-08 
    21      0    6.251457E-09    6.251457E-09 
    21      1   -1.616280E-08    2.868930E-08 
    21      2   -5.613893E-09    4.177876E-09 
    21      3    1.914331E-08    2.271966E-08 
    21      4   -5.109490E-09    1.897823E-08 
    21      5    2.608546E-09    1.096818E-09 
    21      6   -1.354897E-08    1.254244E-11 
    21      7   -6.609938E-09    2.520442E-09 
    21      8   -1.723532E-08    2.147023E-09 
    21      9    1.585385E-08    9.079387E-09 
    21     10   -1.140041E-08   -1.138139E-09 
    21     11    6.893469E-09   -3.557954E-08 
    21     12   -3.327925E-09    1.477440E-08 
    21     13   -1.936539E-08    1.393660E-08 
    21     14    2.026707E-08    7.353982E-09 
    21     15    1.757351E-08    1.036995E-08 
    21     16    7.491113E-09   -6.654482E-09 
    21     17   -7.467661E-09   -7.376887E-09 
    21     18    2.647380E-08   -1.107134E-08 
    21     19   -2.720457E-08    1.655418E-08 
    21     20   -2.694441E-08    1.591900E-08 
    21     21    8.455245E-09   -3.654295E-09 
    22      0   -1.077783E-08   -1.077783E-08 
    22      1    1.568154E-08   -3.836437E-09 
    22      2   -2.649053E-08   -1.160784E-09 
    22      3    1.134572E-08    1.012215E-08 
    22      4   -3.617951E-09    1.872948E-08 
    22      5    9.332322E-11   -3.184645E-10 
    22      6    1.016256E-08   -5.508578E-09 
    22      7    1.746410E-08    4.747280E-09 
    22      8   -2.350044E-08    3.815272E-09 
    22      9    6.681664E-09    8.377640E-09 
    22     10    5.624845E-09    2.235107E-08 
    22     11   -4.815732E-09   -1.756347E-08 
    22     12    2.418900E-09   -8.211829E-09 
    22     13   -1.715882E-08    1.951368E-08 
    22     14    1.087259E-08    8.327366E-09 
    22     15    2.576862E-08    4.712660E-09 
    22     16    1.085979E-10   -7.290660E-09 
    22     17    8.567692E-09   -1.459579E-08 
    22     18    1.019659E-08   -1.619932E-08 
    22     19    1.405535E-08   -3.361294E-09 
    22     20   -1.677238E-08    1.958121E-08 
    22     21   -2.531606E-08    2.396844E-08 
    22     22   -1.008646E-08    2.333523E-09 
    23      0   -2.225696E-08   -2.225696E-08 
    23      1    9.172319E-09    1.619054E-08 
    23      2   -1.439295E-08   -4.587376E-09 
    23      3   -2.407638E-08   -1.749682E-08 
    23      4   -2.387052E-08    8.285637E-09 
    23      5   -8.815353E-10    1.638276E-10 
    23      6   -1.193033E-08    1.613043E-08 
    23      7   -6.887869E-09   -1.914197E-09 
    23      8    7.356706E-09    1.814257E-10 
    23      9    1.818452E-09   -1.284964E-08 
    23     10    1.685972E-08   -2.266971E-09 
    23     11    9.231710E-09    1.429307E-08 
    23     12    1.646457E-08   -1.201121E-08 
    23     13   -1.161258E-08   -5.205137E-09 
    23     14    6.958697E-09   -1.464196E-09 
    23     15    1.894669E-08   -3.590169E-09 
    23     16    5.904538E-09    1.107370E-08 
    23     17   -5.462865E-09   -1.293375E-08 
    23     18    8.544577E-09   -1.481654E-08 
    23     19   -5.476219E-09    1.065548E-08 
    23     20    7.970812E-09   -5.456991E-09 
    23     21    1.571123E-08    1.174370E-08 
