    Lon.    Lat. Zr(m)  E(m)
  95.000  87.338  -307    47
  97.950  87.475  -599    73
  15.350  85.599 -1086     3
  74.750  86.404  -674     1
  16.550  85.252  -349    16
  18.300  84.747  -205     9
  20.850  84.010  -231    50
  25.767  83.653  -318    74
  27.650  83.584  -407    80
  24.350  82.999  -395    81
  28.900  82.984  -692   100
  26.750  82.306  -682   105
  29.404  82.067  -343   106
  -0.400  79.705   118    66
  -3.350  79.980   276    85
  -0.400  79.705   118    66
  -1.900  77.614   -36    91
  -2.700  77.759   -58    93
  -1.900  77.614   -36    91
   0.650  77.154   284    62
   0.650  77.154   284    62
   5.350  76.306   956    21
-147.545  72.169 -2207   274
-140.640  71.647 -2181   363
-132.225  72.045 -1610   453
-140.522  71.387 -2457   425
-135.259  71.345 -2498   717
-103.535 -70.013  -343    64
 -16.360 -70.009  -612    46
-158.745 -72.388   218    21
-155.445 -72.408  -102    36
