580 1.89344 1.2209 1.15382 1.41032 0.973806 0.809085
590 1.86492 1.14686 1.13202 1.37548 0.947845 0.806724
600 1.83416 1.04256 1.1087 1.34042 0.922121 0.80342
600 1.83416 1.04256 1.1087 1.34042 0.922121 0.80342
610 1.80493 0.935741 1.08356 1.30496 0.896755 0.798485
620 1.78075 0.835744 1.0563 1.26897 0.871865 0.79188
630 1.76367 0.738893 1.02717 1.22954 0.851369 0.784391
640 1.74997 0.656686 0.997764 1.18559 0.837271 0.775888
650 1.7362 0.61614 0.968254 1.13895 0.827761 0.766225
660 1.73643 0.604097 0.938656 1.09136 0.821132 0.754807
670 1.73215 0.591217 0.908993 1.04443 0.815777 0.738281
670 1.73215 0.591217 0.908993 1.04443 0.815777 0.738281
685.3 0.882899 0.570543 0.86353 0.977353 0.806651 0.699299
735.3 0.705151 0.552399 0.704848 0.797645 0.728124 0.545408
771 0.628835 0.542632 0.629213 0.716709 0.656751 0.454548
771 0.628835 0.542632 0.629213 0.716709 0.656751 0.454548
785.3 0.600019 0.535488 0.605625 0.689618 0.631841 0.425732
835.3 0.522792 0.501394 0.514697 0.602484 0.553423 0.383044
885.3 0.458102 0.454125 0.423759 0.504351 0.500782 0.363153
935.3 0.395335 0.395126 0.354983 0.421761 0.443153 0.295868
985.3 0.335181 0.329863 0.299828 0.348484 0.350308 0.232997
1035.3 0.27828 0.266021 0.248953 0.277211 0.266955 0.186921
1085.3 0.22457 0.207245 0.201566 0.2122 0.204918 0.153947
1135.3 0.175262 0.156162 0.157626 0.159084 0.160258 0.125219
1185.3 0.131583 0.112957 0.113417 0.115237 0.120738 0.0974868
1235.3 0.0938155 0.0773732 0.0779662 0.079265 0.0839678 0.0691784
1285.3 0.0620781 0.0495049 0.0498513 0.05112 0.0530492 0.0439698
1335.3 0.0366179 0.0286522 0.0282051 0.0295513 0.0301724 0.025366
1385.3 0.0176144 0.0136861 0.0131299 0.0142315 0.0147445 0.0126819
1435.3 0.00551624 0.00425008 0.00403855 0.00461512 0.00474982 0.00419254
1485.3 0.000279598 0.000213088 0.000204511 0.000244937 0.00024574 0.000220676
1535.3 0.00157714 0.00119814 0.00117112 0.00145295 0.00141037 0.0012474
1585.3 0.00901719 0.00688215 0.00682963 0.00863335 0.00812431 0.00709602
1635.3 0.0224149 0.0171235 0.0173415 0.0215376 0.0206299 0.0176052
1685.3 0.0420691 0.0318526 0.0323145 0.0405351 0.0393016 0.0340088
1735.3 0.0687496 0.0510861 0.0510706 0.0658531 0.0643833 0.0564066
1785.3 0.102931 0.0746839 0.0757384 0.0975812 0.0953488 0.0841521
1835.3 0.145109 0.102924 0.105263 0.136282 0.12985 0.115399
1885.3 0.195407 0.13698 0.136733 0.183656 0.171835 0.152575
1935.3 0.254372 0.178776 0.172244 0.23992 0.226878 0.198261
1985.3 0.321004 0.227281 0.216104 0.30489 0.292852 0.2504
2035.3 0.392927 0.279818 0.264477 0.377455 0.354795 0.301817
2085.3 0.469406 0.337403 0.314041 0.447446 0.421446 0.35069
2135.3 0.550635 0.400259 0.366633 0.504143 0.494991 0.395252
2185.3 0.634186 0.468111 0.422431 0.558491 0.573269 0.454563
2235.3 0.719863 0.540145 0.480936 0.618368 0.656777 0.53902
2285.3 0.811304 0.615116 0.541121 0.706551 0.745778 0.62752
2335.3 0.912618 0.691323 0.596867 0.810729 0.856548 0.707741
2385.3 1.02922 0.769 0.644433 0.919982 0.976837 0.792959
2435.3 1.15786 0.849345 0.69782 1.03333 1.06035 0.91895
2485.3 1.29033 0.935704 0.771373 1.15606 1.18986 1.12055
2535.3 1.42651 1.0278 0.858645 1.33267 1.33193 1.3301
2585.3 1.56144 1.13047 0.954364 1.58545 1.47426 1.44883
2635.3 1.66306 1.23736 1.06949 1.89869 1.59656 1.78926
2685.3 1.7441 1.33286 1.22224 2.26429 1.7244 2.51838
2735.3 1.81883 1.41248 1.41185 2.58615 1.93546 2.99661
2741 1.82746 1.42101 1.43562 2.62232 1.96353 3.01915
2741 1.82746 1.42101 1.43562 2.62232 1.96353 3.01915
2785.3 1.92776 1.48723 1.63537 2.91653 2.06394 3.101
2835.3 2.169 1.57211 1.88872 3.29057 2.05376 3.12096
2885.3 2.6513 1.6872 2.11066 3.98979 2.11429 3.08128
2891 2.70463 1.70169 2.13311 4.06272 2.11382 3.12015
