32 8.56726 6.75709 7.30514 7.70097 8.44272 8.59489
33 8.546 6.77071 7.33636 7.69075 8.45933 8.5996
34 8.52493 6.78485 7.37209 7.68062 8.47329 8.60127
35 8.50405 6.79947 7.41291 7.67057 8.48422 8.59962
40 8.40259 6.87885 7.97366 7.62181 8.50843 8.55472
45 8.3064 6.99268 8.0873 7.57603 8.47943 8.47112
50 8.21594 7.14499 8.1906 7.53391 8.37499 8.36928
60 8.054 7.56661 8.38809 7.47516 7.83162 8.19237
70 7.92037 7.77552 8.46287 7.40159 7.52247 8.17648
80 7.8157 7.92723 8.41008 7.26421 7.29518 8.32475
80 7.8157 7.92723 8.41008 7.26421 7.29518 8.32475
90 7.72991 8.04181 8.23666 7.13243 7.41876 8.5541
100 7.65061 8.12186 7.93041 6.9909 7.65333 8.83995
110 7.56568 8.11336 7.52414 6.76584 7.87498 9.16915
120 7.4631 7.98036 7.02605 6.56874 8.00118 9.11004
130 7.33392 7.72762 6.48243 6.3979 7.80167 8.86774
140 7.19307 7.40276 5.93217 6.18948 7.28309 8.60192
150 7.04445 7.02228 5.48433 5.9185 6.74621 8.17164
160 6.88799 6.53262 5.1114 5.70749 6.23106 7.17092
170 6.72639 5.95301 4.77636 5.45829 5.59583 6.56569
180 6.55672 5.5007 4.46081 5.16653 4.94787 5.94788
190 6.36836 4.76814 4.17488 4.92214 4.62017 5.26873
200 6.1495 4.24644 3.8024 4.70189 4.34152 4.47526
210 5.89588 3.88378 3.48192 4.49556 4.147 4.12835
220 5.64883 3.56121 3.21266 4.29843 4.02273 3.88743
220 5.64883 3.56121 3.21266 4.29843 4.02273 3.88743
230 5.42278 3.24814 2.95263 4.11273 3.90168 3.67625
240 5.20056 2.94357 2.70247 3.94462 3.78161 3.48212
250 4.97718 2.70139 2.48685 3.80082 3.6621 3.32976
260 4.74285 2.54096 2.33015 3.66863 3.54269 3.20796
270 4.4981 2.4338 2.21314 3.53302 3.41236 3.07776
280 4.25834 2.36012 2.12642 3.36635 3.24886 2.90484
290 4.03871 2.30053 2.06288 3.16954 3.06269 2.69398
300 3.8475 2.2387 2.00631 3.06793 2.79357 2.46077
310 3.68052 2.1798 1.95489 2.9884 2.55699 2.19154
320 3.53233 2.13578 1.91069 2.91373 2.38135 1.9053
330 3.39736 2.11004 1.87555 2.84161 2.27862 1.68278
340 3.2715 2.0937 1.85012 2.76956 2.22048 1.50668
350 3.15813 2.08655 1.83069 2.6955 2.16327 1.38343
360 3.06173 2.08895 1.81505 2.62811 2.10696 1.3189
370 2.97829 2.10397 1.80125 2.57455 2.05153 1.30016
380 2.89917 2.12703 1.78742 2.53146 1.99696 1.32078
390 2.82565 2.15154 1.77174 2.49481 1.94248 1.35189
400 2.75903 2.17118 1.75246 2.46068 1.88562 1.38525
400 2.75903 2.17118 1.75246 2.46068 1.88562 1.38525
410 2.70077 2.18002 1.72807 2.42575 1.82819 1.42131
420 2.65169 2.16675 1.69448 2.39259 1.77245 1.46538
430 2.608 2.12296 1.64978 2.36168 1.72036 1.52052
440 2.5684 2.06451 1.60047 2.33121 1.67382 1.5275
450 2.53248 1.99541 1.55297 2.29942 1.63429 1.50184
460 2.49695 1.91813 1.5134 2.26463 1.59749 1.45697
470 2.4679 1.82041 1.48727 2.22523 1.5615 1.40452
480 2.45697 1.7129 1.47312 2.18068 1.52618 1.34305
490 2.44854 1.62131 1.46741 2.13491 1.49138 1.27531
500 2.43939 1.55477 1.46747 2.08863 1.45698 1.207
